Round,Loss,Accuracy
1,0.6811085939407349,0.5352357625961304
2,0.6524624824523926,0.6955335140228271
3,0.623709499835968,0.7042183876037598
4,0.5943307280540466,0.7059553861618042
5,0.5703169703483582,0.7124069929122925
6,0.5597723722457886,0.7156327962875366
7,0.5585505366325378,0.7181141972541809
8,0.5628806948661804,0.7163771986961365
9,0.5751378536224365,0.7099255919456482
10,0.5729731321334839,0.710918128490448
11,0.5769691467285156,0.714640200138092
12,0.5698621273040771,0.7124069929122925
13,0.5685728192329407,0.7116625308990479
14,0.569753110408783,0.7171216011047363
15,0.573051929473877,0.7163771986961365
16,0.5701826214790344,0.7183623313903809
17,0.5629674196243286,0.7163771986961365
18,0.5599730610847473,0.7191067337989807
19,0.5587118864059448,0.7188585996627808
20,0.559106171131134,0.7181141972541809
21,0.5602809190750122,0.7173697352409363
22,0.5605157017707825,0.7176178693771362
23,0.5630165338516235,0.7176178693771362
24,0.5690876841545105,0.7136476635932922
25,0.5729054808616638,0.7156327962875366
26,0.5730295777320862,0.7126551270484924
27,0.5704402327537537,0.7168734669685364
28,0.5711172819137573,0.714640200138092
29,0.5715977549552917,0.7158809304237366
30,0.5728120803833008,0.7173697352409363
31,0.5736377835273743,0.7151365280151367
32,0.5711864233016968,0.7156327962875366
33,0.5704923272132874,0.7148883938789368
34,0.5683864951133728,0.7156327962875366
35,0.568596363067627,0.7156327962875366
36,0.568911612033844,0.7148883938789368
37,0.5685569643974304,0.7151365280151367
38,0.5676411390304565,0.7141439318656921
39,0.5668609738349915,0.7143920660018921
40,0.5678158402442932,0.7156327962875366
41,0.5684078335762024,0.7143920660018921
42,0.5686662793159485,0.7171216011047363
43,0.5677655339241028,0.7171216011047363
44,0.5675840377807617,0.7171216011047363
45,0.5679290294647217,0.7176178693771362
46,0.5684599876403809,0.7173697352409363
47,0.5680657625198364,0.7186104655265808
48,0.5672765374183655,0.7176178693771362
49,0.5677381157875061,0.7176178693771362
50,0.568254292011261,0.7183623313903809
51,0.5675820708274841,0.7193548679351807
52,0.5667993426322937,0.7168734669685364
53,0.5671643614768982,0.7181141972541809
54,0.5673285126686096,0.7173697352409363
55,0.5671330690383911,0.7171216011047363
56,0.5665702819824219,0.7171216011047363
57,0.5664691925048828,0.7186104655265808
58,0.5668288469314575,0.7168734669685364
59,0.5664998292922974,0.7171216011047363
60,0.5662165284156799,0.7176178693771362
61,0.5657286047935486,0.7168734669685364
62,0.5659344792366028,0.7166253328323364
63,0.5660134553909302,0.7171216011047363
64,0.5654445886611938,0.7163771986961365
65,0.5656009316444397,0.7178660035133362
66,0.5651552081108093,0.7161290645599365
67,0.5641359090805054,0.7173697352409363
68,0.5636239051818848,0.7166253328323364
69,0.5637940168380737,0.7161290645599365
70,0.5651230216026306,0.7166253328323364
71,0.565933346748352,0.7178660035133362
72,0.5679932832717896,0.7163771986961365
73,0.5683367252349854,0.7196030020713806
74,0.568080723285675,0.7171216011047363
75,0.5667896270751953,0.7176178693771362
76,0.5661874413490295,0.7158809304237366
77,0.5652593374252319,0.7153846621513367
78,0.5643094778060913,0.7161290645599365
79,0.5636261701583862,0.7166253328323364
80,0.5637590885162354,0.7166253328323364
81,0.5642156004905701,0.7161290645599365
82,0.56354159116745,0.7153846621513367
83,0.5632084608078003,0.7168734669685364
84,0.5635433197021484,0.7148883938789368
85,0.5640266537666321,0.7161290645599365
86,0.5634803771972656,0.7163771986961365
87,0.5630959868431091,0.7161290645599365
88,0.563274621963501,0.7156327962875366
89,0.5635656118392944,0.7158809304237366
90,0.563007116317749,0.7166253328323364
91,0.5624076724052429,0.7163771986961365
92,0.5627360939979553,0.7163771986961365
93,0.5631937980651855,0.7166253328323364
94,0.5627459287643433,0.7171216011047363
95,0.5622298121452332,0.7168734669685364
96,0.5623897910118103,0.7166253328323364
97,0.5624157786369324,0.7171216011047363
98,0.5621140003204346,0.7173697352409363
99,0.56202232837677,0.7151365280151367
100,0.5629079341888428,0.7171216011047363
101,0.5622362494468689,0.7163771986961365
102,0.5616170763969421,0.7168734669685364
103,0.5618342161178589,0.7153846621513367
104,0.5620502233505249,0.7163771986961365
105,0.5618342161178589,0.7166253328323364
106,0.5610364079475403,0.7168734669685364
107,0.5616791248321533,0.7153846621513367
108,0.5616680979728699,0.7171216011047363
109,0.5602697730064392,0.7161290645599365
110,0.5597774386405945,0.7163771986961365
111,0.5602138042449951,0.7168734669685364
112,0.5601783990859985,0.7173697352409363
113,0.5618091225624084,0.7166253328323364
114,0.5612791180610657,0.7210918664932251
115,0.5643294453620911,0.7161290645599365
116,0.5627140998840332,0.7166253328323364
117,0.5622917413711548,0.7168734669685364
118,0.5610058307647705,0.7153846621513367
119,0.5618407726287842,0.7173697352409363
120,0.5615919232368469,0.7168734669685364
121,0.5604876279830933,0.7148883938789368
122,0.560964047908783,0.7173697352409363
123,0.5612481832504272,0.7156327962875366
124,0.5610973238945007,0.7168734669685364
125,0.5602532029151917,0.7176178693771362
126,0.5611587166786194,0.7163771986961365
127,0.5611185431480408,0.7173697352409363
128,0.5609796047210693,0.7168734669685364
129,0.5609331130981445,0.7168734669685364
130,0.5610058307647705,0.7168734669685364
131,0.5606631636619568,0.7176178693771362
132,0.5603161454200745,0.7178660035133362
133,0.5608928203582764,0.7166253328323364
134,0.5612058639526367,0.7168734669685364
